elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,total|UBP,"water use|water resources, evaporated",energy resources|energy resources,mineral resources|mineral resources,land use|land use,climate change|global warming potential (GWP100),ozone depletion|ozone depletion,emissions to air|air pollutants and PM,emissions to air|carcinogenic substances into air,emissions to air|heavy metals into air,emissions to water|water pollutants,emissions to water|POP into water,emissions to water|heavy metals into water,emissions to soil|pesticides into soil,emissions to soil|heavy metals into soil,emissions to air|radioactive substances into air,emissions to water|radioactive substances into water,"waste disposal|waste, non radioactive",waste disposal|radioactive waste to deposit,natural resources|biotic resources
bf580c6b-1b4d-429d-bed7-1e335920941f,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trifluoro-, hfc-143a",air,"low population density, long-term",kg,mapped,4800000.0,,,,,4800000.0,,,,,,,,,,,,,,
5253e322-7de5-42aa-9167-daf22ff44031,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trifluoro-, hfc-143a",air,low population density,kg,mapped,4800000.0,,,,,4800000.0,,,,,,,,,,,,,,
e86bfec2-1025-4fa2-90b1-81e35e621e91,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,unspecified,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trifluoro-, hfc-143a",air,unspecified,kg,mapped,4800000.0,,,,,4800000.0,,,,,,,,,,,,,,
f43b2b80-f5a6-4d31-9980-0754305a978d,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trifluoro-, hfc-143a",air,high population density,kg,mapped,4800000.0,,,,,4800000.0,,,,,,,,,,,,,,
46e55458-0696-5e94-9a8d-e705e05fc2db,"1,1,2,2-Tetrafluoroethene",000116-14-3,C2F4,Tetrafluoroethylene,air,unspecified,kg,"mapped: synonym, syn_strip",,1.0,,tetrafluoroethylene,air,unspecified,kg,mapped,0.0,,,,,,,,,,,,,,,,,,,
d2025041-20ee-41bb-b2c8-47631e839ff0,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,1,2-trichloro-1,2,2-trifluoro-, cfc-113",air,"low population density, long-term",kg,mapped,20000000.0,,,,,,20000000.0,,,,,,,,,,,,,
47c12d99-c2dc-41cf-bad1-cd31c2fe0421,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"ethane, 1,1,2-trichloro-1,2,2-trifluoro-, cfc-113",air,low population density,kg,mapped,20000000.0,,,,,,20000000.0,,,,,,,,,,,,,
cacfd448-6c2d-4061-9363-fd506b979f25,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,unspecified,kg,mapped: overwrite,,1.0,,"ethane, 1,1,2-trichloro-1,2,2-trifluoro-, cfc-113",air,unspecified,kg,mapped,20000000.0,,,,,,20000000.0,,,,,,,,,,,,,
9b132374-dce2-4ce0-86aa-53201b30f617,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"ethane, 1,1,2-trichloro-1,2,2-trifluoro-, cfc-113",air,high population density,kg,mapped,20000000.0,,,,,,20000000.0,,,,,,,,,,,,,
e75faf77-8341-4223-8b46-72391fd0f312,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,1,2-trichloro-",air,"low population density, long-term",kg,mapped,12000.0,,,,,,,12000.0,,,,,,,,,,,,
b4d5edf7-0584-4e43-8ee7-f78511443b0d,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"ethane, 1,1,2-trichloro-",air,low population density,kg,mapped,12000.0,,,,,,,12000.0,,,,,,,,,,,,
b32061b1-8d24-4663-b10d-0a1c705f2937,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,unspecified,kg,mapped: overwrite,,1.0,,"ethane, 1,1,2-trichloro-",air,unspecified,kg,mapped,12000.0,,,,,,,12000.0,,,,,,,,,,,,
eb53bdf4-5b02-40fa-a1cb-318e207e7eec,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"ethane, 1,1,2-trichloro-",air,high population density,kg,mapped,12000.0,,,,,,,12000.0,,,,,,,,,,,,
c491a3e4-8bf5-57b9-a2e8-b154e8620155,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",water,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
