elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,climate change|global warming potential (GWP100),acidification|acidification potential (AP),particulate matter formation|particulate matter formation potential (PMFP),ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation|maximum incremental reactivity (MIR),eutrophication|eutrophication potential,ecotoxicity: freshwater|ecotoxicity: freshwater,human toxicity: carcinogenic|human toxicity: carcinogenic,human toxicity: non-carcinogenic|human toxicity: non-carcinogenic
bf580c6b-1b4d-429d-bed7-1e335920941f,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-143a,air,unspecified,kg,mapped,4470.0,,,,,,,,
5253e322-7de5-42aa-9167-daf22ff44031,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-143a,air,unspecified,kg,mapped: proxy,4470.0,,,,,,,,
e86bfec2-1025-4fa2-90b1-81e35e621e91,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-143a,air,unspecified,kg,mapped,4470.0,,,,,,,,
f43b2b80-f5a6-4d31-9980-0754305a978d,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-143a,air,unspecified,kg,mapped: proxy,4470.0,,,,,,,,
d2025041-20ee-41bb-b2c8-47631e839ff0,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,,cfc-113,air,unspecified,kg,mapped,6130.0,,,1.0,,,,,4.102888901350442e-07
47c12d99-c2dc-41cf-bad1-cd31c2fe0421,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,,cfc-113,air,rural air,kg,mapped,6130.0,,,1.0,,,,,4.089080284497417e-07
cacfd448-6c2d-4061-9363-fd506b979f25,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,,cfc-113,air,unspecified,kg,mapped,6130.0,,,1.0,,,,,4.102888901350442e-07
9b132374-dce2-4ce0-86aa-53201b30f617,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,,cfc-113,air,urban air,kg,mapped,6130.0,,,1.0,,,,,4.116697518203466e-07
e75faf77-8341-4223-8b46-72391fd0f312,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,"low population density, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",air,unspecified,kg,mapped,,,,,0.08561692307692306,,0.5756850438026918,1.065608436963135e-06,3.327743675967333e-06
b4d5edf7-0584-4e43-8ee7-f78511443b0d,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,non-urban air or from high stacks,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",air,rural air,kg,mapped,,,,,0.08561692307692306,,0.5752241915552043,6.157030538606932e-07,1.922753117081016e-06
b32061b1-8d24-4663-b10d-0a1c705f2937,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",air,unspecified,kg,mapped,,,,,0.08561692307692306,,0.5756850438026918,1.065608436963135e-06,3.327743675967333e-06
eb53bdf4-5b02-40fa-a1cb-318e207e7eec,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,urban air close to ground,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",air,urban air,kg,mapped,,,,,0.08561692307692306,,0.5761458960501793,1.515513820065576e-06,4.732734234853651e-06
b018c97d-8fea-4258-b4d3-6a65669c77f4,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,,hcfc-141b,air,unspecified,kg,mapped,725.0,,,0.12,,,,4.556442908745643e-08,
416eedbd-a7b4-4693-8031-9bfaa2f20ebc,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hcfc-141b,air,rural air,kg,mapped,725.0,,,0.12,,,,4.291959421499929e-08,
843fd145-61ac-4fa7-a608-ce4ac4d88d49,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hcfc-141b,air,unspecified,kg,mapped,725.0,,,0.12,,,,4.556442908745643e-08,
033d3a16-e1a2-4ce8-8769-f4ea867801ca,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hcfc-141b,air,urban air,kg,mapped,725.0,,,0.12,,,,4.820926395991358e-08,
94ca9e00-5268-4663-a0cd-25026c7c6b53,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-152a,air,unspecified,kg,mapped,124.0,,,,0.01749717948717949,,,,
1c4a106a-53bc-40f5-bcae-d30ab191dbfe,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-152a,air,unspecified,kg,mapped: proxy,124.0,,,,0.01749717948717949,,,,
9cf9bf0e-86fe-42c0-90cc-bfed96fbdc8f,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-152a,air,unspecified,kg,mapped,124.0,,,,0.01749717948717949,,,,
