elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,acidification|accumulated exceedance (AE),climate change|global warming potential (GWP100),climate change: biogenic|global warming potential (GWP100),climate change: fossil|global warming potential (GWP100),climate change: land use and land use change|global warming potential (GWP100),particulate matter formation|impact on human health,ecotoxicity: freshwater|comparative toxic unit for ecosystems (CTUe),"ecotoxicity: freshwater, inorganics|comparative toxic unit for ecosystems (CTUe)","ecotoxicity: freshwater, organics|comparative toxic unit for ecosystems (CTUe)",eutrophication: marine|fraction of nutrients reaching marine end compartment (N),eutrophication: freshwater|fraction of nutrients reaching freshwater end compartment (P),eutrophication: terrestrial|accumulated exceedance (AE),human toxicity: carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: carcinogenic, organics|comparative toxic unit for human (CTUh)",human toxicity: non-carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: non-carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: non-carcinogenic, organics|comparative toxic unit for human (CTUh)",ionising radiation: human health|human exposure efficiency relative to u235,land use|soil quality index,ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation: human health|tropospheric ozone concentration increase,energy resources: non-renewable|abiotic depletion potential (ADP): fossil fuels,material resources: metals/minerals|abiotic depletion potential (ADP): elements (ultimate reserves),water use|user deprivation potential (deprivation-weighted water consumption)
fad455a8-a20f-4b6e-8192-0bec95252876,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,ocean,kg,mapped: CAS,,1.0,4d9a8790-3ddd-11dd-9261-0050c2490048,hcfc-140,Emissions to water,Emissions to sea water,kg,mapped,,,,,,,1.1491,,1.1491,,,,0.0,,0.0,4.0308e-09,,4.0308e-09,,,,,,,
9b77be37-3f9d-4ecf-b7b1-86e8390bcf2e,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,surface water,kg,mapped: CAS,,1.0,4d9a8790-3ddd-11dd-925d-0050c2490048,hcfc-140,Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,495.88,,495.88,,,,0.0,,0.0,1.7061e-08,,1.7061e-08,,,,,,,
c8e5538f-17a1-4f62-aa64-39a91adb5cd3,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,unspecified,kg,mapped: CAS,,1.0,4d9a8790-3ddd-11dd-925f-0050c2490048,hcfc-140,Emissions to water,"Emissions to water, unspecified",kg,mapped,,,,,,,495.88,,495.88,,,,0.0,,0.0,1.0546e-08,,1.0546e-08,,,,,,,
bf580c6b-1b4d-429d-bed7-1e335920941f,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,"low population density, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,3e21a7fb-a101-4fc4-90c9-d2b6a9bcaff1,"1,1,1-trifluoroethane",Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,5810.0,,5810.0,,,,,,,,,,,,,,,,,,,,,
5253e322-7de5-42aa-9167-daf22ff44031,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,non-urban air or from high stacks,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,ac210084-b8ae-427f-976f-5e436e3d793c,"1,1,1-trifluoroethane",Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,5810.0,,5810.0,,,,,,,,,,,,,,,,,,,,,
e86bfec2-1025-4fa2-90b1-81e35e621e91,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,26162114-f5b3-45b5-87c3-f0fe0ecf2bb9,"1,1,1-trifluoroethane",Emissions to air,"Emissions to air, unspecified",kg,mapped,,5810.0,,5810.0,,,,,,,,,,,,,,,,,,,,,
f43b2b80-f5a6-4d31-9980-0754305a978d,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,urban air close to ground,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,afd9aaad-0a62-45d6-b712-1b8e8cca2246,"1,1,1-trifluoroethane",Emissions to air,Emissions to urban air close to ground,kg,mapped,,5810.0,,5810.0,,,,,,,,,,,,,,,,,,,,,
d2025041-20ee-41bb-b2c8-47631e839ff0,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,"low population density, long-term",kg,mapped: CAS,,1.0,cb864c47-95d8-4d91-8e97-96d018abb949,"1,1,2-trichlorotrifluoroethane",Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,6520.0,,6520.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,,0.81,,,,
47c12d99-c2dc-41cf-bad1-cd31c2fe0421,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,non-urban air or from high stacks,kg,mapped: CAS,,1.0,58c05f46-fb00-470e-aa98-16c62176748c,"1,1,2-trichlorotrifluoroethane",Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,6520.0,,6520.0,,,,,,,,,0.0,,0.0,2.323e-09,,2.323e-09,,,0.81,,,,
cacfd448-6c2d-4061-9363-fd506b979f25,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,unspecified,kg,mapped: CAS,,1.0,a3fe3630-a497-45c3-a1ed-7b20f9d6e51a,"1,1,2-trichlorotrifluoroethane",Emissions to air,"Emissions to air, unspecified",kg,mapped,,6520.0,,6520.0,,,,,,,,,0.0,,0.0,3.7028e-09,,3.7028e-09,,,0.81,,,,
