elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,climate change|global warming potential (GWP100),acidification|acidification potential (AP),particulate matter formation|particulate matter formation potential (PMFP),ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation|maximum incremental reactivity (MIR),eutrophication|eutrophication potential,ecotoxicity: freshwater|ecotoxicity: freshwater,human toxicity: carcinogenic|human toxicity: carcinogenic,human toxicity: non-carcinogenic|human toxicity: non-carcinogenic
aae8aac7-b81d-41e4-b356-912b369d1c55,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,ocean,kg,mapped,False,1.0,,"1,4-butanediol",water,sea water,kg,mapped,,,,,,,1.248882374560439e-06,,
d6911d36-3fec-41fe-8ef9-540f6543a240,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,surface water,kg,mapped,True,1.0,,"1,4-butanediol",water,freshwater,kg,mapped,,,,,,,7.309331982177244,,
d835b7aa-288b-4b3a-966b-3f64f36ed220,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,unspecified,kg,mapped,False,1.0,,"1,4-butanediol",water,freshwater,kg,mapped: proxy,,,,,,,7.309331982177244,,
9dd01d5b-3677-4822-9cd4-36d21b0e23d1,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,"low population density, long-term",kg,mapped,False,1.0,,1-pentanol,air,unspecified,kg,mapped,,,,,2.827076923076923,,0.2122142917421881,,
b78e77cb-7636-4420-855e-17239984f8b3,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,lower stratosphere + upper troposphere,kg,mapped,False,1.0,,1-pentanol,air,unspecified,kg,mapped,,,,,2.827076923076923,,0.2122142917421881,,
cc9a442f-c96a-4bdc-990d-8b58f72b4e07,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,non-urban air or from high stacks,kg,mapped,False,1.0,,1-pentanol,air,rural air,kg,mapped,,,,,2.827076923076923,,0.2105961714821809,,
048baf1e-6cdc-44a5-92e2-32d15ff54885,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,unspecified,kg,mapped,False,1.0,,1-pentanol,air,unspecified,kg,mapped,,,,,2.827076923076923,,0.2122142917421881,,
541a823c-0aad-4dc4-9123-d4af4647d942,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,urban air close to ground,kg,mapped,True,1.0,,1-pentanol,air,urban air,kg,mapped,,,,,2.827076923076923,,0.2138324120021953,,
5074e239-b510-49aa-928c-fcdb462481d8,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,ground-,kg,mapped,False,1.0,,1-pentanol,water,freshwater,kg,mapped,,,,,,,15.56803807841913,,
cfa50eaf-a817-4352-b9fe-aa834240d269,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,"ground-, long-term",kg,mapped,False,1.0,,1-pentanol,water,freshwater,kg,mapped,,,,,,,15.56803807841913,,
8d28a5b3-1b1c-41e9-9eba-90c607aad7db,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,ocean,kg,mapped,False,1.0,,1-pentanol,water,sea water,kg,mapped,,,,,,,0.002520549204345182,,
e4526360-b2a1-4e77-9f00-57dbfe228bde,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,surface water,kg,mapped,True,1.0,,1-pentanol,water,freshwater,kg,mapped,,,,,,,15.56803807841913,,
070dc6b3-0976-45a0-803e-0a87d7e96959,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,unspecified,kg,mapped,False,1.0,,1-pentanol,water,freshwater,kg,mapped: proxy,,,,,,,15.56803807841913,,
47a8dfb8-f1e5-4460-b7ca-eeea1ca44596,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,air,"low population density, long-term",kg,mapped,False,1.0,,1-pentene,air,unspecified,kg,mapped,,,,,7.207435897435896,,,,
87eed31b-5a6b-43ae-9a02-778a8c6e4ff8,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,air,lower stratosphere + upper troposphere,kg,mapped,False,1.0,,1-pentene,air,unspecified,kg,mapped,,,,,7.207435897435896,,,,
